label,text
REAL,President Donald Trump will meet with Republican members of the U.S. House of Representatives on Thursday ahead of the chamber s vote on tax reform legislation the White House said on Monday. The Republican controlled Congress is steaming ahead on its plan to overhaul the country s tax code in the hopes that it can finish the legislation before the end of the year.
REAL,U.S. President Donald Trump said he will meet on Tuesday with the Democratic leaders of the U.S. Senate and House of Representatives Chuck Schumer and Nancy Pelosi to discuss keeping the government open but cited differences with them. Meeting with Chuck and Nancy today about keeping government open and working. Problem is they want illegal immigrants flooding into our Country unchecked are weak on Crime and want to substantially RAISE Taxes. I don t see a deal Trump said in a Twitter post.
REAL,The Republican controlled U.S. House Ways and Means Committee will wrap up work on Thursday on major tax overhaul legislation Chairman Kevin Brady said which could bring the measure to a vote by the full House as early as next week. Brady said that before the committee vote is held a change will be inserted into the bill to keep it in line with a requirement that the measure add no more than 1.5 trillion to the U.S. debt.
REAL,Marta Kauffman co creator of classic shows such as Friends and Grace and Frankie has set her broadcast television return with series The Dreamers .Kaufman has penned the new show with her daughter Hannah KS Canter.The drama based on Karen Thompson Walker s novel of the same name is about a small college town that is transformed by a mysterious sickness that locks victims in perpetual sleep and triggers extraordinary life altering dreams.Kaufman 63 will also serve as executive producer alongside Canter Robbie Rowe Tollin and Warren Littlefield
REAL,U.S. President Donald Trump struck a blow against the 2015 Iran nuclear agreement on Friday in defiance of other world powers choosing not to certify that Tehran is complying with the deal. Based on the factual record I have put forward I am announcing today that we cannot and will not make this certification Trump said at a White House event as he unveiled a tougher strategy against Tehran. Trump s move does not pull the United States out of the agreement formally known as the JCPOA.
REAL,Visakhapatnam Local MLA and urban district TDP president Vasupalli Ganesh Kumar on Saturday met chief minister and YSRC president YS Jaganmohan Reddy along with his two sons. While his sons joined the ruling party the legislator did not join but is likely to support the ruling party from outside.The TDP legislator praised the chief minister for his welfare schemes and also for the government s decision to make Visakhapatnam the state s executive capital. We will win the Visakha mayoral elections and give it as a gift to the CM he said. Siva G
REAL,Britain s ambassador to the United States discussed a row over retweets sent by President Donald Trump with senior White House officials on Wednesday a British government source said on Thursday. The source who asked not to be named due to the sensitivity of the issue did not give further details of the discussion. Trump has sparked outrage in Britain s political establishment with a sharp rebuke of Prime Minister Theresa May on Twitter after she criticised him for retweeting British far right anti Islam videos.
REAL,The attorney for former Trump campaign manager Paul Manafort said on Monday there was no evidence Manafort colluded with the Russian government while working for the campaign and in fact his work on behalf of Ukraine had ended two years earlier. I think you all saw today that President Donald Trump was correct. There is no evidence that Mr. Manafort or the Trump campaign colluded with the Russian government attorney Kevin Downing told reporters after Manafort pleaded not guilty to money laundering and other charges. Mr. Manafort represented pro European Union campaigns for the Ukrainians and ... was seeking to further democracy and to help the Ukraine come closer to the United States and the EU Downing said. Those activities ended in 2014 over two years before Mr. Manafort served in the Trump campaign.
REAL,President Donald Trump will name David Kautter as acting commissioner of the U.S. Internal Revenue Service the White House said in a statement on Thursday. Kautter who is assistant secretary of the Treasury for tax policy would become the acting head of the federal government s revenue collection service effective Nov. 13 the White House said.
REAL,Republican U.S. Senators Lindsey Graham and Bill Cassidy said on Thursday they were working with Republican Senator Ron Johnson and members of the House of Representatives to add more flexibility provisions to a proposed bipartisan bill to stabilize the healthcare insurance market in the short term. They said in a statement these provisions were needed to win support in the House for the stabilization measure introduced by Republican Senator Lamar Alexander and Democratic Senator Patty Murray to shore up the insurance markets created under the 2010 healthcare law by reviving subsidies for two years to help lower income Americans obtain medical coverage. President Donald Trump said last week that he was discontinuing the subsidies. nL2N1MU1CS
REAL,U.S. Treasury Secretary Steven Mnuchin on Monday announced cash management measures to avoid a U.S. default. In a letter to House of Representatives Speaker Paul Ryan Mnuchin said the Treasury would no longer be able to fully invest in two retirement funds for federal workers. They are the Civil Service Retirement and Disability Fund and the Postal Service Retiree Health Benefits Fund according to the letter. All the funds would be made whole once the debt limit is increased Mnuchin said. The U.S. Treasury is bumping up against the cap on how much money it can borrow to cover the budget deficit that results from Washington spending more than it collects in taxes. Only Congress can raise that limit. A temporary measure that suspended the debt limit expired on Dec. 8 although the Treasury has emergency means to continue to pay all its bills through January the department has said. The United States is one of only a few nations that requires the legislature to approve periodic increases in the legal limit on how much money the federal government can borrow.
REAL,Hyderabad Incessant rains may bring a relief to the Hyderabad Metropolitan Water Supply and Sewerage Board HMWSSB as water levels in twin reservoirs Osmansagar and Himayatsagar are steadily increasing.For the past two days arrival of fresh inflows into Osmansagar and Himayatsagar due to streams led to these reservoirs in brim situations after rains in upstream areas. A one foot rise has been observed in the water level 1 762 feet at Osmansagar on Saturday as compared to water level recorded 1 761 feet on Friday. Regarding Himayatsagar the recorded water levels on Saturday was 1 747 feet a slight rise over the previous day s water level.To avoid water levels of the two reservoirs reaching dead storage the water board is maintaining levels and drawing two million to five million gallons of water in a day MGD in order to provide tanker supply toconsumers. We are expecting inflows into twin reservoirs may increase further said a HMWSSB official.
REAL,The following statements were posted to the verified Twitter accounts of U.S. President Donald Trump realDonaldTrump and POTUS. The opinions expressed are his own. Reuters has not edited the statements or confirmed their accuracy. realDonaldTrump Great news on the 2018 budget SenateMajLdr McConnell first step toward delivering MASSIVE tax cuts for the American people TaxReform
REAL,JAIPUR Fourteen more people died of coronavirus in Rajasthan on Sunday raising the death toll to 1 336 while 1 865 fresh cases pushed the infection count in the state to 1 14 989. Two Covid 19 patients died in Jaipur while one death each was reported in Ajmer Alwar Banswara Bharatpur Bikaner Jodhpur Karauli Kota Nagaur Sirohi and Udaipur according to official data.The maximum of the fresh cases on Sunday were reported from Jaipur where 328 persons tested positive for the virus.Other cases were reported in Ajmer 101 Alwar 114 Banswara 26 Baran 10 Barmer 14 Bharatpur 37 Bhilwara 104 Bikaner 58 Bundi 22 Chittorgarh 29 Churu 30 and Dausa 22 .Dholpur reported 20 cases Dungarpur 17 Ganganagar 29 Hanumangarh 34 Jaisalmer 10 Jalore 4 Jhalawar 21 Jhunjhunu 31 Jodhpur 301 Karauli 10 Kota 62 Nagaur 42 Pali 125 Pratapgarh 6 Rajsamand 11 Sawaimadhopur 11 Sikar 39 Sirohi 16 Tonk 41 and Udaipur 140 .A total of 95 469 patients have recovered from COVID 19 so far.The number of active cases in the state as of now is 18 184 as per the data.
REAL,A senior Chinese diplomat said on Friday China has made its best efforts to resolve issues on the Korean peninsula ahead of U.S. President Donald Trump s state visit to Beijing next week when he is expected to press China to do more on North Korea. Vice Foreign Minister Zheng Zeguang said the North Korean nuclear issue would be an important topic up for discussion at the meeting between Chinese President Xi Jinping and Trump. China firmly opposes conflict on the Korean peninsula and believes using force is not the correct way to resolve the issue Zheng told reporters at a briefing in Beijing. China and the United States have a shared interest in peace and stability on the Korean peninsula Zheng said.
REAL,The chairman of the U.S. House of Representatives Appropriations Committee introduced a bill on Monday to provide 81 billion in emergency aid for recent hurricanes and wildfires. The legislation includes 27.6 billion for the Federal Emergency Management Agency and 26.1 billion for community development block grants Representative Rodney Frelinghuysen said in a statement. President Donald Trump had requested 44 billion last month which was widely criticized by lawmakers as being insufficient.
REAL,Democrat Ralph Northam was elected on Tuesday as Virginia s next governor U.S. media projected handing his party a sorely needed victory and beating back a challenge from a Republican opponent who embraced President Donald Trump s combative campaign style. Northam the state s lieutenant governor had seen his lead in the opinion polls diminish late in the race in the face of hard edged ads by Republican Ed Gillespie touching on divisive issues such as immigration gang crime and Confederate statues.
REAL,India and China have drawn up a 5 point plan to dial down tensions along the Line of Actual Control. While parts of Ladakh have seen trouble this time round watch the video to see all the 27 points of dispute including the new flashpoints such as Pangong Tso Lake and Galwan Valley that have cropped up along the LAC in Ladakh Himachal Pradesh Uttarakhand Sikkim and Arunachal Pradesh.
REAL,SALT LAKE CITY Reuters President Donald Trump on Monday said he supports Utah Senator Orrin Hatch running for re election next year as speculation mounts that fellow Republican and frequent Trump critic Mitt Romney hopes to take the seat. Asked whether he was encouraging Hatch who is the Senate president pro tempore and chairs its powerful Finance Committee to run for re election Trump said Yes. While he and Hatch toured a Salt Lake City food pantry alongside leaders of the Church of Latter Day Saints Trump sidestepped questions of whether he was trying to block Romney from running saying only He s a good man. Romney and Hatch are Mormons.
REAL,DANANG Vietnam Reuters An alleged link between U.S. President Donald Trump s former campaign manager Paul Manafort and Russia is being fabricated by Trump s opponents as a weapon against Trump Russian President Vladimir Putin said on Saturday. Reports that Putin s relatives were involved in contacts with Trump administration were untrue Putin told a briefing at the end of the Asia Pacific Economic Cooperation summit in Vietnam.
REAL,U.S. Commerce Secretary Wilbur Ross said there was nothing improper about his investments in a shipping firm with significant ties to Russian President Vladimir Putin s inner circle a BBC journalist reported on Monday. U.S. media citing leaked documents from an offshore law firm said partnerships used by Ross have a 31 percent stake in Navigator Holdings which the New York Times said earns millions of dollars a year transporting gas for Russian petrochemical firm Sibur. The fact that Sibur happens to be called a Russian company does not mean there s any evil in it Ross said according to a BBC journalist on Twitter reporting the content of an interview with Ross.
REAL,NEW DELHI South Delhi Municipal Corporation has decided to waive education cess on property taxes paid by religious institutions. The relaxation will be applicable to all temples gurdwaras churches and mosques falling under its jurisdiction.Leader of the House in SDMC Narendra Chawla said a meeting in this regard was called on Friday where all the departments presented their views. We have decided that when the property tax is waived for all such religious places then there was no point taking the education cess which had to be filled in the automatic self declaration system. The online system will soon be updated and no cess will be charged Chawla said. There are hundreds of religious institutions in our areas which will benefit from the move. Property taxes for these places are already waived but every year they need to file the status report so that it is ensured the premises are being used for religious purpose only Chawla explained.He added that while filing online status the education cess had to be mandatorily filled in without which the form could not be submitted.
REAL,U.S. President Donald Trump s personal lawyer took responsibility on Sunday for a tweet about the firing of former national security adviser Michael Flynn a central figure in the probe into Russian meddling in the 2016 U.S. presidential election. In an interview with Axios John Dowd said the tweet was my mistake and that he drafted the tweet that raised more questions about whether there had been attempts to obstruct the Russia investigation. I m out of the tweeting business Dowd told Axios. I did not mean to break news.
REAL,The chairman of the U.S. House Appropriations Committee on Wednesday introduced a bill to fund the government until Jan. 19 while Congress works on longer term legislation the panel said in a statement. The bill unveiled by Republican Representative Rodney Frelinghuysen would fully fund national defense programs for the entire 2018 fiscal year and includes money for the Children s Health Insurance Program the statement said. Congress must pass a funding bill by Dec. 23 to prevent a partial government shutdown.
REAL,President Donald Trump s son in law Jared Kushner and former adviser K.T. McFarland were the Trump transition officials who spoke to former U.S. national security adviser Michael Flynn about his contacts with Russian officials CNN reported Friday. McFarland went on to serve in the Trump White House and has been nominated to be the U.S. ambassador to Singapore. CNN also reported she met with investigators for special counsel Robert Mueller who is looking at contacts between Russians and the Trump administration.
REAL,Republicans in the U.S. House of Representatives will delay the release of tax legislation for a day as lawmakers try to overcome differences involving the treatment of retirement savings accounts and state and local taxes sources said on Tuesday. Two sources knowledgeable about the discussions said the House Republican tax committee is still expected to begin deliberating on tax legislation at hearings set to start on Monday. The bill was initially expected on Wednesday but the sources said it would be released on Thursday instead.
REAL,Pune The Dighi police on Friday registered a case against a police constable for threatening and abusing a woman constable on the station premises in the earlier hours of Friday. According to the case the constable was in an inebriated condition at the time of the incident.Police said the 57 year old constable was on night duty along with the woman who was the station house duty officer during the shift.Police said the constable given the duty of beat marshal in Charholi village returned to the police station around 1am in an inebriated condition police said. He then started threatening the woman loudly and hurled abuses at her.Police have booked the constable under IPC sections 504 506 and 509 charges and the Prohibition Act. Senior police officers will also initiate an internal probe into the incident.
REAL,Kareena Kapoor Khan who is all set to ring in her 40birthday tomorrow on September 21 took to her Instagram handle to share a monochrome selfie smiling as she looks back to the milestones she achieved before entering her 40th year.Check out her post here She wrote As I enter my 40th year... I want to sit back reflect love laugh forgive forget and most importantly pray and thank the strongest force up there for giving me the strength and thank my experiences and decisions for making me the woman I am... Some right some wrong some great some not so... but still hey BIG 40 make it BIG.The star icon is an epitome of expressions and has gifted her fans a filmography of nearly 60 films. She is currently expecting her second child with Saif Ali Khan . The couple had made an official statement last month saying We are very pleased to announce that we are expecting an addition to our family Thank you to all our well wishers for all their love and support. On the work front Kareena will next be seen in Karan Johar s period drama Takht and Aamir Khan starrer Laal Singh Chaddha .
REAL,U.S. President Donald Trump said he has not been asked for an interview with U.S. special counsel Robert Mueller who is leading the federal investigation into alleged Russian interference in the 2016 presidential election. Asked whether he would answer questions from Mueller Trump told Fox Business Network in an interview that aired on Monday I don t know. Nobody s asked me to do that.
REAL,The National Federation of Independent Business a powerful lobbying group for U.S. small businesses on Thursday threw its support behind a Republican tax reform bill in the U.S. House of Representatives after a key lawmaker proposed changes. We are very grateful to Chairman Brady for listening to our concerns and working with NFIB to ensure that tax reform benefits the greatest possible number of American small business owners NFIB President Juanita Duggan said in a statement referring to Representative Kevin Brady who heads the House tax writing panel. Earlier Brady released an amendment to his own tax bill that would reduce the tax rate on the business income of small business owners.
REAL,ROME Top seed Simona Halep ousted Spaniard Garbine Muguruza in three sets to advance to her third final at the Italian Open on Sunday played in front of a small number of spectators for the first time.The Romanian dropped her second set on clay in Rome before seeing off Muguruza 6 3 4 6 6 4 in a battle of former French Open champions before Roland Garros in a week s time.Halep the 2018 French Open winner will next play either Czech defending champion Karolina Pliskova the second seed or Marketa Vondrousova for a place in the final.Halep 28 has finished runner up in her two previous finals at the Foro Italico in 2017 and 2018.Ninth seed Muguruza the 2016 Roland Garros champion fell to her fourth semi final defeat in Rome the furthest she has gone in the tournament.Wimbledon champion Halep extended her winning streak this season to 13 consecutive victories.She won the Dubai title in February before the coronavirus lockdown coming back to claim victory in Prague last month having skipped the US Open.
REAL,Senate Democratic Leader Chuck Schumer plans to meet on Monday afternoon with Leandra English the Democrats pick to lead the U.S. Consumer Financial Protection Bureau. Schumer and Senator Elizabeth Warren will meet jointly with English who on Friday was named temporary head of the agency by outgoing Director Richard Cordray according to Warren s office. President Donald Trump is challenging English s bid to serve as acting director naming his budget director Mick Mulvaney to serve in an interim role. English has filed a lawsuit in federal court seeking a temporary restraining order barring Mulvaney from leading the regulator.
REAL,U.S. President Donald Trump intends to nominate Michael Griffin a former administrator of the National Aeronautics and Space Administration NASA as undersecretary of defense for research and engineering the White House said on Monday. The White House had said in October that Trump intended to tap Griffin for principal deputy undersecretary of defense for acquisition technology and logistics. Monday s announcement did not give a reason for the change. Griffin most recently served as chairman and chief executive officer of the Schafer Corporation a provider of scientific engineering and technical services and products in the national security sector the White House said. He held the top NASA job from 2005 to 2009.
REAL,A U.S. House of Representatives panel said on Tuesday that it has scheduled an Oct. 24 hearing to examine Puerto Rico s hurricane recovery efforts and the role of a financial oversight board in those efforts. The House Committee on Natural Resources which last year worked on legislation creating the board to help Puerto Rico a U.S. territory manage its 72 billion debt load will hold the hearing. Since Hurricane Maria pounded Puerto Rico in September causing widespread destruction there have been calls for possibly revising some of the financial board s work related to the island s debt. Committee officials were not immediately available to comment on who might testify at the hearing.
REAL,Libya s internationally recognized government has appealed to the United States to drop or ease a travel ban imposed on its citizens by U.S. President Donald Trump the Foreign Ministry said on Thursday. The Libyan Foreign Ministry through its embassy in Washington has begun to take measures to lift Libya from the list of countries and to ease the restrictions on Libyan citizens the ministry said in a statement. Libya is one of six Muslim majority countries subject to the travel ban. This week the U.S. Supreme Court allowed the ban to take full effect while litigation over its ultimate validity continues. The ban was also discussed at a meeting between Libyan Foreign Minister Mohamed Siyala and U.S Deputy Secretary of Homeland Security Elaine Duke on Monday the statement said.
REAL,Pune Policing led by intelligence and backed by technology would top the agenda of Amitabh Gupta who would take charge as commissioner of police Pune on Sunday.Gupta a 1992 batch IPS officer told TOI on Saturday over the phone Instilling a sense of security among citizens and fear among criminals will be my priority. I shall also give priority to maintaining law and order prevention and detection of crime besides focusing on other important aspects. He said I shall consult my officers and chalk out a plan on what needs to be done for the public and the police welfare after taking charge from the outgoing police commissioner K Venkatesham. Venkatesham will take charge as additional director general of police special operations in Mumbai next week.
REAL,New York State Attorney Eric Schneiderman on Tuesday said he has been investigating for six months who posted significant numbers of fake comments filed with the Federal Communications Commission in its review of net neutrality rules. The FCC got more than 22 million comments during its review and several researchers found evidence that significant numbers of submissions were fake. Schneiderman said Tuesday the FCC has refused multiple requests for crucial evidence. The FCC did not immediately comment. On Tuesday FCC Chairman Ajit Pai proposed reversing the Obama era net neutrality rules.
REAL,Reuters Federal Reserve Governor Jerome Powell is the leading candidate to become the chair of the U.S. central bank after President Donald Trump concluded a series of meetings with five finalists on Thursday Politico reported citing three administration officials. The officials cautioned that Trump who met with current Chair Janet Yellen for about half an hour on Thursday has not made a final decision according to the Politico report. politi.co 2insOp2
REAL,Russian Deputy Foreign Minister Sergei Ryabkov said on Friday it was extremely troubling that U.S. President Donald Trump was raising questions that had been settled when an international deal on Iran s nuclear program was signed RIA news agency reported. Ryabkov was quoted as saying that Russia sees its main task now as preventing the Iran nuclear deal from collapsing. He called on all sides to stay committed to the deal the news agency reported.
REAL,U.S. President Donald Trump said on Wednesday he spoke to Chinese President Xi Jinping to congratulate him on a new leadership line up unveiled at the Communist Party Congress in Beijing. The two also discussed North Korea and trade Trump said in a Twitter post. Spoke to President Xi of China to congratulate him on his extraordinary elevation. Also discussed NoKo trade two very important subjects Trump wrote. Xi told Trump China would unswervingly follow the path of peaceful development and promote coordination and cooperation among world major powers the official Xinhua news agency reported late on Wednesday. China attaches great importance to the Sino U.S. relations and is willing to promote the long term healthy and stable development of bilateral relations on the basis of mutual respect and mutual benefits Xinhua cited Xi as saying. Trump is expected to meet Xi when he visits China next month when the two are likely to discuss issues related to North Korea and U.S. China trade.
REAL,BHOPAL A Congress worker in Chhindwara was booked under NSA on Saturday after he allegedly blackened the face of the SDM during a protest for flood damage compensation to farmers.He and 21 other Congress workers were also booked for attempted murder apart from the usual charges of assault and obstructing a government official. An FIR has been registered against 22 people and other unidentified persons. Among them is Bunty Patel who has a record. There were seven to eight old cases against him hence the recommendation to book him under NSA and the order was subsequently issued. He and others were arrested and sent to jail Chhindwara SP Vivek Agarwal told TOI. Bunty and the others had gheraoed the SDM office in Chaurai town of Chhindwara on Friday demanding compensation for crop damage due to the recent floods. When SDM CP Patel stepped up to accept their memorandum Bunty allegedly smeared his face with black colour. MP Administrative Service Association on Saturday condemned the assault on the SDM and called an indefinite strike. Tehsildars and patwaris have supported the strike it said.
REAL,LUCKNOW The city s civic body Lucknow Municipal Corporation LMC has decided to form a special cell in its headquarters at all the eight zonal offices in the city which will exclusively be run by women and cater to women.According to LMC officials a separate unit will be created for women visiting the corporation for depositing property tax collecting birth and death certificate paying rent for housing and commercial units and to register complaints related to garbage drains roads and streetlights. The issue will be resolved by the women only team and the visitors will not be allowed to enter the zonal offices.Municipal commissioner Ajay Dwivedi said Two sections will be made in all the zonal offices and the headquarters of the civic body with a week. One of them will be for men and the other for women. It will also help in ensuring social distancing. He said only women employees of LMC will be deputed in these cells to attend to the women coming to lodge complaints or any other work.The corporation in the month of July had barred entry for visitors amid rising Covid 19 cases in the city.
REAL,U.S. President Donald Trump intends to nominate Michael Griffin a former administrator of the National Aeronautics and Space Administration as principal deputy undersecretary of defense for acquisition technology and logistics the White House said on Friday. Griffin most recently served as chairman and chief executive officer of the Schafer Corporation a provider of scientific engineering and technical services and products in the national security sector the White House said in a statement. He held the top NASA job from 2005 to 2009.
REAL,U.S. Senate Democratic Leader Chuck Schumer said on Tuesday that President Donald Trump s tweeted attack on Senator Kirsten Gillibrand was nasty but Schumer did not join Gillibrand s call for Trump to resign the presidency over sexual misconduct accusations. That tweet was nasty unbecoming of a president Schumer told reporters. Gillibrand a New York Democrat on Monday called for Trump to resign over sexual misconduct allegations. More than a dozen women have accused Trump of unwanted sexual advances which he has denied. Trump lambasted Gillibrand on Twitter on Tuesday writing Lightweight Senator Kirsten Gillibrand a total flunky for Chuck Schumer and someone who would come to my office begging for campaign contributions not so long ago and would do anything for them is now in the ring fighting against Trump.
REAL,VASCO The Mormugao Planning and Development Authority MPDA will file a petition in the Supreme Court challenging the norms which state that no objection certificates NOC from the Indian Navy are required for construction and development works within a four kilometre radius of the Dabolim airport.MPDA chairman Clafasio Dias said the requirement would cause unnecessary harassment to the common man and builders as they would find it difficult to approach the Navy to seek permission. He was speaking during a recently held meeting that was attended by all four legislators from Mormugao urban development minister and Mormugao MLA Milind Naik Vasco MLA Carlos Almeida panchayats minister and Dabolim MLA Mauvin Godinho and Cortalim MLA Alina Saldanha.
